Year,wtm_gdp44,wtm_con44,um_gdp44,um_con44,nc
2000,11889.1795065309,6410.18472169406,17910.3562163845,8318.56759042108,123
2001,11966.1437375437,6495.70659501214,18044.1643036545,8426.00765117276,124
2002,12104.7663242596,6583.75032587778,18251.5221020091,8533.70436387093,125
2003,12407.9073876411,6710.03979714012,18666.819963138,8744.29024671349,125
2004,12878.5290173326,6932.53136491235,19439.7579315628,9058.25353671571,125
2005,13291.6928022905,7142.86659039887,19936.6124245793,9255.07840277171,127
2006,13749.5089581695,7342.77916192025,20533.6472967424,9528.15713509724,129
2007,14220.9518089707,7594.16532508493,20993.9146498108,9772.50145933996,132
2008,14405.5221679123,7683.26519106241,20937.2584555334,9875.65320007732,134
2009,14076.2336867531,7619.78655410177,19898.6559601298,9571.8716928207,136
2010,14596.3175093109,7821.36881388312,20192.5436204699,9664.39259563021,139
2011,14792.0176280164,7949.9360025964,20605.4588760359,9789.73993915317,140
2012,15060.1090605011,8105.09023007038,20725.065486622,9897.44063723839,141
2013,15361.2702755508,8277.13623418326,20884.7119910214,9980.74827338655,142
2014,15706.512741104,8460.00345146275,21515.492745413,10278.6954291828,143
2015,16031.9169851584,8630.67373992994,21562.2994836938,10432.3702040875,144
2016,16392.0806373368,8824.7752546595,21869.0843806361,10628.0485129607,144
2017,16831.6132658293,9071.87902206594,22413.8320860151,10867.2217800684,144
2018,17259.9616069013,9325.00677699439,22872.7297758113,11095.8419228044,144
2019,17572.9795399981,9518.61931198919,23157.6642158076,11265.5673696837,144
2020,16898.3718513589,9024.74175565376,21614.8605691763,10578.0616807617,144
2021,17836.8035395087,9645.74719487794,22944.0980955572,11272.8675326503,144
2022,18374.9707780476,9966.26259342937,23842.0416788704,11817.6717895067,136
