Year,mldgdp,wmld_gdp,n(),Year,mldcon,wmld_con,n()
2000,0.66521313223406,0.652636622779156,185,2000,0.449660411805033,0.632950107183413,124
2001,0.662496623906764,0.636113463916154,186,2001,0.470769031309162,0.621990562257225,126
2002,0.662500949530021,0.623864992710531,187,2002,0.469932783267426,0.608000893839744,128
2003,0.662993308061643,0.60803518307203,187,2003,0.469885933409195,0.59468916343863,129
2004,0.66384718834042,0.593393823780355,188,2004,0.465062678347915,0.583032163616685,129
2005,0.657339632037285,0.576594632863806,188,2005,0.460568472347529,0.562026600266737,131
2006,0.66149773584594,0.558879780347906,189,2006,0.452410944652726,0.545222726770661,133
2007,0.654529123192222,0.538945104314907,189,2007,0.447771541930084,0.521733273296821,137
2008,0.634809286723463,0.523098161022491,190,2008,0.43613552824712,0.503068754390847,139
2009,0.608427870869647,0.485384913578448,191,2009,0.423363098915513,0.474813372190419,141
2010,0.603272255440296,0.472740366182811,191,2010,0.415040869742041,0.456227304112484,145
2011,0.597588698493307,0.46398456547603,192,2011,0.417693789498636,0.444222526143928,146
2012,0.587633126737902,0.453836248711946,192,2012,0.407333272941064,0.426904385799122,147
2013,0.590081835444519,0.443865661156833,194,2013,0.404553684939713,0.410220315629815,148
2014,0.581487061301696,0.432548192061005,194,2014,0.40948655912782,0.398940722063898,149
2015,0.573116584382627,0.424585628685686,194,2015,0.403103462872509,0.38374350971495,150
2016,0.568487828897354,0.416144057150238,194,2016,0.40145793240864,0.37173298341338,151
2017,0.56805612676545,0.411282088578813,194,2017,0.390815395884253,0.3637245340562,164
2018,0.567182977187162,0.407085477853982,194,2018,0.403062413350844,0.354234374347335,151
2019,0.562822396807403,0.404116395874089,194,2019,0.401168709508404,0.346703685979946,151
2020,0.551319417621349,0.404822874301967,194,2020,0.38571926225759,0.34133534560115,148
2021,0.567526488848983,0.412939639345557,194,2021,0.38536457775225,0.341833284695968,144
2022,0.57076459421796,0.405501286835405,188,2022,0.395034680618156,0.342275402541408,136
